"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,0.9,0.1,0.9998276923527913,0.9998123821703698,0.025616232500000002,32.20463569115478
1000,1.0,0.0,0.9999999407795788,0.9999999379627089,0.02788486,45.79467217919569
1500,0.95,0.05,0.9991518521674378,0.9991203481122837,0.0340713455,29.562412170412166
2000,0.9,0.1,0.9999142156690655,0.999912829523466,0.051187610499999994,24.185099544967763
2500,0.95,0.05,0.999472573670431,0.9995041364279749,0.0639041025,22.921573418943126
3000,0.95,0.05,0.9952437170609716,0.995207492659633,0.07571164899999999,24.002168790896093
3500,1.0,0.0,0.9999999829039062,0.9999999827393331,0.084823172,24.47828191916838
4000,1.0,0.0,0.9999999885801759,0.9999999885082804,0.096265134,22.897336089597847
4500,1.0,0.0,0.9999999706669388,0.9999999690226766,0.10751327299999999,17.37566165007186
5000,1.0,0.0,0.9999999886627124,0.9999999886229959,0.126415522,20.479999999999997
5500,0.9,0.1,0.9999752395101472,0.9999748663461374,0.1275250375,14.767228582235731
6000,0.95,0.05,0.9925508991264804,0.9924833716984994,0.137551341,13.181856217291
6500,1.0,0.0,0.9999999919410979,0.9999999919207002,0.1467399925,17.962148235407962
7000,1.0,0.0,0.9999999876901523,0.9999999875341271,0.15778665,15.638734329496472
7500,1.0,0.0,0.99999999152076,0.9999999914379019,0.16959602000000001,15.265220077024761
8000,1.0,0.0,0.9999999918213618,0.9999999918113709,0.185354609,15.384480816719162
8500,0.95,0.05,0.9997856011765921,0.9997904137785388,0.189722108,14.934342262836001
9000,0.95,0.05,0.9994585473643809,0.999461933924664,0.20631525099999998,10.378336839569025
9500,1.0,0.0,0.9999999955474226,0.9999999955325848,0.21492334349999997,14.117767827140828
10000,1.0,0.0,0.9999999895485012,0.9999999894928377,0.230426845,11.992531008923848
