"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,1.0,0.0,0.9986156751025514,0.9984438345497002,0.10365000259999999,0.7999999999999999
1000,1.0,0.0,0.9994085614781498,0.9993666120727298,0.1084973468,0.5656854249492379
1500,0.9800000000000001,0.02,0.9770327838491802,0.9657793531230183,0.1646525792,0.2309401076758503
2000,0.9400000000000001,0.06,0.9204917899000715,0.7517606496847143,0.23933619820000002,0.18
2500,1.0,0.0,0.9988909189745389,0.9988063290303513,0.30752741240000003,0.17888543819998318
3000,0.52,0.48,0.30700156932788364,0.08502819066245611,0.3654652554,0.30700271442882493
3500,1.0,0.0,0.9993062730007045,0.9992664617985426,0.45688350600000005,0.1511857892036909
4000,1.0,0.0,0.9993023422212651,0.9992606927440381,0.5192193668,0.14142135623730948
4500,0.8400000000000001,0.16,0.8039643875229954,0.6113181700284122,0.578581407,0.12
5000,1.0,0.0,0.9994604356357606,0.9994334728591763,0.6093872570000001,0.12649110640673514
5500,1.0,0.0,0.9995089331700742,0.9994849641208635,0.6641935728,0.12060453783110543
6000,1.0,0.0,0.9995579306127353,0.9995374267052405,0.7207226731999999,0.11547005383792516
6500,0.82,0.18,0.7867731030081624,0.6091334793940317,0.764969416,0.10761183806769445
7000,1.0,0.0,0.9995978821449223,0.9995799724338699,0.8285366604,0.10690449676496974
7500,1.0,0.0,0.9996542853654425,0.9996404218754646,0.9180716713999999,0.10327955589886442
8000,0.8800000000000001,0.12,0.8438391084682442,0.6758947364560088,1.0201677031999998,0.09999999999999999
8500,1.0,0.0,0.9996940018050724,0.9996822977543699,1.0343152065999999,0.0970142500145332
9000,1.0,0.0,0.9996782906662073,0.9996655936404724,1.0367669354,0.09428090415820634
9500,0.9,0.1,0.8884424174181307,0.8466983199828766,1.1128158333999998,0.08258966419340223
10000,0.9400000000000001,0.06,0.9215011293085882,0.7912341140837379,1.151226516,0.04293250516799597
